Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary,sin_hour,cos_hour,sin_day,cos_day,sin_month,cos_month
2014-03-05 00:00:00.000 +0100,Overcast,rain,6.733333333333332,6.105555555555557,0.89,4.8944,27.0,15.826300000000002,0.0,1005.82,Overcast throughout the day.,0.0,1.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 01:00:00.000 +0100,Overcast,rain,7.116666666666668,6.222222222222224,0.89,5.8443000000000005,13.0,14.9569,0.0,1006.16,Overcast throughout the day.,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 02:00:00.000 +0100,Overcast,rain,7.222222222222222,6.061111111111109,0.89,6.810300000000001,10.0,9.982,0.0,1006.24,Overcast throughout the day.,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 03:00:00.000 +0100,Mostly Cloudy,rain,6.666666666666667,5.56111111111111,0.93,6.295100000000001,342.0,9.982,0.0,1006.23,Overcast throughout the day.,0.7071067811865476,0.7071067811865476,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 04:00:00.000 +0100,Mostly Cloudy,rain,5.7222222222222205,4.400000000000001,0.93,6.5366,0.0,9.982,0.0,1006.35,Overcast throughout the day.,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 05:00:00.000 +0100,Overcast,rain,6.133333333333333,3.877777777777776,0.93,10.7387,0.0,9.982,0.0,1006.83,Overcast throughout the day.,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 06:00:00.000 +0100,Overcast,rain,6.133333333333333,4.505555555555556,0.93,7.905100000000001,0.0,9.982,0.0,1006.86,Overcast throughout the day.,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 07:00:00.000 +0100,Mostly Cloudy,rain,6.994444444444446,5.311111111111113,0.88,8.774500000000002,359.0,9.4024,0.0,1007.48,Overcast throughout the day.,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 08:00:00.000 +0100,Overcast,rain,7.177777777777779,4.827777777777777,0.86,12.5097,0.0,9.982,0.0,1008.06,Overcast throughout the day.,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 09:00:00.000 +0100,Overcast,rain,7.222222222222222,4.855555555555557,0.86,12.6707,0.0,8.1305,0.0,1008.65,Overcast throughout the day.,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 10:00:00.000 +0100,Overcast,rain,7.838888888888889,5.266666666666665,0.88,15.005200000000002,0.0,9.4185,0.0,1008.59,Overcast throughout the day.,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 11:00:00.000 +0100,Overcast,rain,8.91111111111111,6.700000000000001,0.82,14.1358,10.0,9.982,0.0,1008.4,Overcast throughout the day.,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 12:00:00.000 +0100,Mostly Cloudy,rain,9.927777777777775,7.266666666666666,0.82,20.3826,9.0,9.982,0.0,1008.87,Overcast throughout the day.,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 13:00:00.000 +0100,Overcast,rain,9.961111111111112,7.650000000000002,0.77,17.0177,8.0,9.982,0.0,1008.75,Overcast throughout the day.,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 14:00:00.000 +0100,Overcast,rain,10.072222222222225,10.072222222222225,0.82,17.5007,9.0,9.982,0.0,1008.66,Overcast throughout the day.,-0.4999999999999997,-0.8660254037844388,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 15:00:00.000 +0100,Overcast,rain,11.08888888888889,11.08888888888889,0.7,15.955100000000002,10.0,10.2557,0.0,1008.93,Overcast throughout the day.,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 16:00:00.000 +0100,Overcast,rain,10.077777777777778,10.077777777777778,0.76,15.8746,1.0,10.2235,0.0,1009.21,Overcast throughout the day.,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 17:00:00.000 +0100,Overcast,rain,8.983333333333334,7.061111111111112,0.88,12.2038,1.0,8.1305,0.0,1009.75,Overcast throughout the day.,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 18:00:00.000 +0100,Overcast,rain,8.93888888888889,7.472222222222224,0.88,9.4668,3.0,9.982,0.0,1010.46,Overcast throughout the day.,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 19:00:00.000 +0100,Overcast,rain,8.794444444444444,7.777777777777778,0.9,7.2611,359.0,9.5956,0.0,1011.22,Overcast throughout the day.,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 20:00:00.000 +0100,Overcast,rain,8.816666666666666,6.6166666666666645,0.83,13.9265,1.0,9.982,0.0,1011.66,Overcast throughout the day.,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 21:00:00.000 +0100,Overcast,rain,8.283333333333331,5.566666666666668,0.86,16.9533,12.0,15.826300000000002,0.0,1012.26,Overcast throughout the day.,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 22:00:00.000 +0100,Overcast,rain,7.822222222222221,4.866666666666665,0.85,18.0481,30.0,14.586600000000002,0.0,1012.68,Overcast throughout the day.,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2014-03-05 23:00:00.000 +0100,Overcast,rain,6.733333333333332,3.561111111111109,0.82,17.5651,40.0,15.826300000000002,0.0,1013.44,Overcast throughout the day.,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
